Bottom Up Summary ,11%, $175.63 ," 1,132 "," $175,628 ",-32%," $(56,678.23)",,
,,,,,,,,
,,,,,,,,
Market Price ,,,," $232,306 ",,,,
Maximum Discount,,,," $(28,339)",,,,
Discounted Final Price,13%,," 1,417 "," $203,967 ",,,,
Applied Discount %,,,,12%,,,,
Discount Manual Overwrite,,,,15%,,,,
Discount Selection,,,,-15%,,,,
Market Price ,,,," $232,306 ",,,,
Applied Discount %,,,," $(83,022)",,,,
Contract Price,10%, $149.28 , 910 ," $149,284 ",,,,
,,,,,,,,
Hours Rebalance by Phases,,,,,,,,
Discovery,8%, 73 ,,,,,,
Creative - Conceptual,8%, 73 ,,,,,,
Creative - Shematic,34%, 309 ,,,,,,
Creative - Preliminary,8%, 73 ,,,,,,
Technical - Shematic,34%, 309 ,,,,,,
Technical - Preliminary,8%, 73 ,,,,,,
Total ,100%, 910 ,,,,,,
,,,,,,,,
Rebalanced Hours Per Employees,Designer 1 Hours,Designer 2 Hours,Architect Hours,Engineer Hours,Principal Hours,Total ,,
Discovery, 27 , 27 , 7 , 1 , 10 , 72 ,,
Creative - Conceptual, -   , -   , 69 , -   , 4 , 73 ,,
Creative - Shematic, 99 , 99 , 99 , 6 , 6 , 309 ,,
Creative - Preliminary, 23 , 23 , 23 , 1 , 1 , 71 ,,
Technical - Shematic, 80 , 80 , 31 , 99 , 19 , 309 ,,
Technical - Preliminary, 19 , 19 , 7 , 23 , 4 , 72 ,,
Total, 248.00 , 248.00 , 236.00 , 130.00 , 44.00 , 906 ,,
